Felt ;Dato;Naturtype;Art;type
1;7/13/20;overdrev;draphavre ;Graminoid
1;7/13/20;overdrev;eg_almindelig;Vedplante
1;7/13/20;overdrev;fladbaelg_gul;Bredbladet urt
1;7/13/20;overdrev;floejlsgraes;Graminoid
1;7/13/20;overdrev;hundegraes_almindelig;Graminoid
1;7/13/20;overdrev;hvene_almindelig;Graminoid
1;7/13/20;overdrev;hvidtjoern_engriflet;Vedplante
1;7/13/20;overdrev;hoensetarm_almindelig;Bredbladet urt
1;7/13/20;overdrev;kloever_hvid;Bredbladet urt
1;7/13/20;overdrev;Kloever_roed;Bredbladet urt
1;7/13/20;overdrev;padderok_ager;Udenfor kategori
1;7/13/20;overdrev;perikon_prikbladet;Bredbladet urt
1;7/13/20;overdrev;rajgraes_almindelig;Graminoid
1;7/13/20;overdrev;rose_glathunde;Vedplante
1;7/13/20;overdrev;rottehale_eng;Graminoid
1;7/13/20;overdrev;rottehale_knold;Graminoid
1;7/13/20;overdrev;slaaen;Vedplante
1;7/13/20;overdrev;snerre_gul;Bredbladet urt
1;7/13/20;overdrev;svingel_roed;Graminoid
1;7/13/20;overdrev;syre_almindelig;Bredbladet urt
1;7/13/20;overdrev;vejbred_lancet;Bredbladet urt
1;7/13/20;overdrev;vikke_muse;Bredbladet urt
1;7/13/20;overdrev;vikke_sambladet;Bredbladet urt
1;7/13/20;overdrev;vikke_tofroeet;Bredbladet urt
1;7/13/20;overdrev;kalkved;Vedplante
2;7/13/20;overdrev;draphavre;Graminoid
2;7/13/20;overdrev;floejlsgraes;Graminoid
2;7/13/20;overdrev;hundegraes_almindelig;Graminoid
2;7/13/20;overdrev;hvene_almindelig ;Graminoid
2;7/13/20;overdrev;kvik_almindelig ;Graminoid
2;7/13/20;overdrev;padderok_ager;Udenfor kategori
2;7/13/20;overdrev;rapgraes_eng;Graminoid
2;7/13/20;overdrev;rottehale_eng;Graminoid
2;7/13/20;overdrev;skraeppe_kruset;Bredbladet urt
2;7/13/20;overdrev;svingel_roed;Graminoid
2;7/13/20;overdrev;syre_almindelig ;Bredbladet urt
2;7/13/20;overdrev;tidsel_ager;Bredbladet urt
2;7/13/20;overdrev;torskemund_almindelig;Bredbladet urt
2;7/13/20;overdrev;vikke_smalbladet;Bredbladet urt
2;7/13/20;overdrev;raevehale_eng;Graminoid
3;7/13/20;fersk eng;aerenpris_tykbladet;Bredbladet urt
3;7/13/20;fersk eng;arve_roed;Bredbladet urt
3;7/13/20;fersk eng;broendkarse_tykskulpet;Bredbladet urt
3;7/13/20;fersk eng;draphavre;Graminoid
3;7/13/20;fersk eng;dueurt_laadden;Bredbladet urt
3;7/13/20;fersk eng;fladbaelg_gul;Bredbladet urt
3;7/13/20;fersk eng;foelfod;Bredbladet urt
3;7/13/20;fersk eng;gaasefod_hvidmelet;Bredbladet urt
3;7/13/20;fersk eng;jordroeg_laege;Bredbladet urt
3;7/13/20;fersk eng;kloever_hvid;Bredbladet urt
3;7/13/20;fersk eng;kvik_almindelig;Graminoid
3;7/13/20;fersk eng;markarve_alm;Bredbladet urt
3;7/13/20;fersk eng;padderok_ager;Udenfor kategori
3;7/13/20;fersk eng;pil_graa;Vedplante
3;7/13/20;fersk eng;pileurt_sner ;Bredbladet urt
3;7/13/20;fersk eng;pileurt_vej;Bredbladet urt
3;7/13/20;fersk eng;ranunkel_lav;Bredbladet urt
3;7/13/20;fersk eng;ranunkel_tigger ;Bredbladet urt
3;7/13/20;fersk eng;rapgraes_almindelig;Graminoid
3;7/13/20;fersk eng;rapgraes_col_eng;Graminoid
3;7/13/20;fersk eng;sennep_ager;Bredbladet urt
3;7/13/20;fersk eng;siv_tudse;Graminoid
3;7/13/20;fersk eng;sneglebaelg_humle;Bredbladet urt
3;7/13/20;fersk eng;snerre_burre;Bredbladet urt
3;7/13/20;fersk eng;tidsel_ager;Bredbladet urt
3;7/13/20;fersk eng;tofrøet_vikke;Bredbladet urt
3;7/13/20;fersk eng;torskemund_liden;Bredbladet urt
3;7/13/20;fersk eng;vejbred_glat;Bredbladet urt
3;7/13/20;fersk eng;vejbred_lancet;Bredbladet urt
3;7/13/20;fersk eng;vortemaelk_skaerm;Bredbladet urt
4;7/13/20;fersk eng;fladbaelg_gul;Bredbladet urt
4;7/13/20;fersk eng;fladstjerne_graesbladet;Bredbladet urt
4;7/13/20;fersk eng;floejlsgraes;Graminoid
4;7/13/20;fersk eng;hvene_almindelig;Graminoid
4;7/13/20;fersk eng;hoensetarm_almindelig;Bredbladet urt
4;7/13/20;fersk eng;iris_sp;Bredbladet urt
4;7/13/20;fersk eng;mjoedurt_almindelig;Bredbladet urt
4;7/13/20;fersk eng;nellikerod_eng;Bredbladet urt
4;7/13/20;fersk eng;padderok_ager;Udenfor kategori
4;7/13/20;fersk eng;perikon_kantet;Bredbladet urt
